VSSign_group_ID	lemma
1	адрес
1	край
1	улица
2	актёр
2	драма
2	концерт
2	опера
2	спектакль
2	театр
2	эстрада
3	акцент
3	выделить или подчеркнуть
4	беспорядок
4	буря
4	вихрь
4	вьюга
5	английский
5	англия
5	британия
5	великобритания
5	долг
6	аппарат
6	посчитать
6	считать
7	астма
7	кашель
8	нашествие
9	атеизм
9	не верить
9	неверие
10	автомат
10	пулемёт
11	автомобиль
11	машина
11	руль
12	банк
12	факт
13	багаж
13	носилки
14	балалайка
14	гитара
15	кабачок
16	базар
16	население
16	рынок
17	бдительный
17	наблюдательность
17	наблюдение
17	следить
18	беда
18	катастрофа
19	бегать
19	бежать
19	побежать
19	убегать
20	бельцы
20	корова
21	бензин
21	нефть
22	беречь
22	хранение
23	берег
23	граница
23	таможня
24	беседовать
24	диалог
24	разговаривать
25	безумный
25	разъяренный
25	сумашедший
25	фанатик
26	библиотека
26	блеск
26	отражение
27	бинт
27	гипс
27	перевязка
28	битва
28	воевать
28	сражаться
29	благоразумный
29	знание
29	мудрость
29	мудрый
29	разумный
29	умный
30	близко
30	накануне
30	недавно
30	нос
31	боюсь
31	бояться
31	трус
31	трусливо
32	больница
32	медицина
33	болезнь
33	болит
33	заболевание
34	бомба
34	взрыв
35	бороться
35	борьба
36	будильник
36	звук
36	шум
36	шуметь
37	бунт
37	забастовка
37	мятеж
37	мятежный
37	революция
38	Чашка
38	банка
38	стакан
39	дёшево
39	чепуха
40	почтение
40	уважать
40	уважение
40	услуга
40	честь
41	гроза
41	молния
41	что, чтобы
42	зерно
42	чуть-чуть
43	реакция
43	сочувствие
43	чувства
43	чувство
44	дать
44	отдавать
45	давно
45	раньше
46	деревня
46	село
47	десерт
47	пироженое
47	торт
48	дети
48	ребяческий
49	девственница
49	цифра
50	до сих пор
50	с тех пор как
51	Пока
51	до свидания
51	пока
52	договор
52	ситуация
52	условие
53	долго
53	медленный
53	надолго
54	достигать
54	карьера
55	драгоценность
55	ценить
56	драка
56	драться
57	думать
57	мозг
57	понимать
57	ум
58	дым
58	пар
59	дышать
59	задыхаться
60	джем
60	маргарин
60	масло
61	гармония
61	единство
62	путешествие
62	путешествовать
62	экскурсия
63	возбуждать
63	возбуждённый
63	воодушевление
63	эмоции
63	эмоция
63	энтузиазм
64	еврей
64	израиль
65	искусственный
65	фальшивый
65	фокусы
66	выдумать
66	придумывать
66	сочинять
66	творчество
66	фантазия
67	февраль
67	фиолетовый
68	ваза
68	кувшин
68	стройный
68	фигура
69	математика
69	фильтр
70	вратарь
70	финал, финиш
71	спорт
71	физкультура
72	лампа
72	люстра
72	светильник
72	фонарь
73	скульптура
73	форма
74	слово
74	фраза
75	германия
75	немецкий
76	гладить
76	утюг
77	глаза
77	зрение
78	гомосексуалист
